Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
85,9,9,1,1,1,1,1,1,1,1,1,1,8,9,1,11,9,8,1,9,8,8,8,8,8,8
251,9,1,11,6,1,1,1,1,1,1,1,1,8,1,11,1,12,11,12,12,6,6,6,6,6,6
74,1,8,9,9,1,1,1,1,1,1,1,1,8,8,9,11,9,1,1,1,8,8,8,8,8,8
637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8
190,12,12,12,12,11,11,1,1,1,1,1,1,1,12,12,12,12,12,12,11,8,8,8,8,8,8
404,13,8,9,1,11,11,1,1,1,1,1,1,11,8,9,11,1,1,1,1,8,8,8,8,9,9
366,1,11,1,9,1,1,1,1,1,11,11,11,9,11,1,12,11,14,9,11,8,8,8,9,1,1
408,3,4,2,2,2,2,12,1,11,1,1,1,9,12,11,11,12,12,12,8,8,8,8,8,8,8
497,1,8,8,9,9,11,11,11,11,9,9,9,9,9,9,9,9,9,9,6,7,6,6,7,7,7
36,12,12,13,1,1,1,1,11,11,11,1,1,1,12,13,13,13,12,12,13,8,8,8,9,9,9
500,8,8,7,9,11,11,11,11,11,11,11,11,7,8,7,7,11,1,1,11,8,8,8,9,9,9
68,9,9,9,11,11,11,11,11,11,11,11,11,8,9,9,1,1,1,11,6,8,8,8,9,9,9
326,1,9,12,11,11,11,11,11,11,11,11,11,8,9,12,1,1,9,9,9,8,8,8,8,9,8
492,11,1,11,11,11,11,11,11,11,11,11,11,9,1,11,11,12,1,13,11,9,8,8,9,9,9
233,12,1,1,12,12,12,11,11,11,11,11,11,1,1,1,12,12,11,1,1,9,9,9,9,9,9
571,8,8,7,8,8,8,8,11,11,11,12,12,6,8,7,7,8,8,8,9,9,9,9,9,9,9
414,1,,,12,11,11,11,11,11,12,11,12,1,,,1,,,,1,8,8,8,8,8,8
657,11,11,11,1,11,13,11,11,12,11,12,12,1,11,11,1,1,11,11,12,9,11,9,1,9,1
270,12,1,11,11,11,11,11,11,12,13,13,13,1,1,11,11,9,1,9,8,1,1,1,1,1,1
302,11,12,13,12,12,12,12,12,11,11,11,11,1,12,13,13,13,12,1,11,9,9,9,9,9,9
434,12,13,1,12,12,11,11,12,11,11,11,11,1,13,1,15,1,1,11,1,8,8,9,9,9,9
174,9,9,11,1,1,12,12,12,12,12,12,12,7,9,11,14,1,12,13,13,9,9,9,9,9,9
249,9,11,12,12,12,12,12,12,12,12,12,12,8,11,12,12,12,12,12,13,9,9,9,1,1,1
449,1,12,11,12,12,12,12,12,12,12,12,12,9,12,11,12,12,12,12,11,9,9,9,9,9,9
173,11,1,11,9,12,12,12,12,12,12,12,12,9,1,11,9,1,9,9,9,1,1,1,1,1,1
561,12,13,11,12,12,12,12,12,12,12,12,12,1,13,11,12,12,12,12,12,9,9,9,1,1,1
642,12,9,9,12,13,13,13,13,13,12,12,12,1,9,1,17,12,7,8,7,9,9,9,1,1,1
496,13,11,12,12,13,13,13,13,13,12,12,12,11,11,12,14,13,13,11,16,9,9,9,1,1,1
548,9,17,14,13,13,13,13,13,13,13,13,13,7,17,14,13,11,11,11,11,7,13,11,11,1,1
210,13,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1
247,15,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,13,12,13,1,1,1,1,1,1
78,18,17,18,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,1,1,1,1,1,1
645,13,12,14,14,12,12,11,13,13,14,13,16,11,12,14,15,14,15,12,15,9,11,11,11,11,11
420,4,3,2,3,3,3,13,13,14,13,13,13,18,18,17,21,13,15,38,19,1,1,1,1,1,1
521,21,19,12,15,14,12,13,13,14,15,14,13,26,26,2,2,2,21,2,21,16,18,17,18,18,16
655,6,21,15,14,14,14,14,14,13,13,13,13,5,21,15,17,15,14,14,1,4,16,11,11,11,11
229,13,15,14,14,14,14,14,14,13,13,13,13,11,15,14,14,14,14,13,11,1,11,1,11,11,11
82,12,12,13,14,14,13,14,14,14,14,14,12,1,12,13,13,13,13,12,12,9,9,9,9,9,9
623,4,,,6,6,6,14,14,14,14,14,14,3,,,,,,,7,7,4,4,9,9,8
77,14,13,13,14,14,14,14,14,14,14,14,14,11,13,13,13,13,13,14,12,11,11,11,11,11,11
243,14,14,13,14,14,14,14,14,14,14,14,14,12,14,13,14,14,14,14,15,1,1,1,11,11,11
20,15,14,14,14,15,15,15,14,14,14,14,14,12,14,14,15,15,15,15,14,11,11,11,11,11,11
558,1,11,1,11,11,13,14,14,15,14,14,15,9,11,1,12,11,13,14,15,11,11,11,12,12,11
67,14,15,15,15,15,15,15,15,15,15,15,15,12,15,15,15,16,15,15,15,12,12,12,12,12,12
401,15,12,14,15,17,15,15,15,15,15,15,15,12,12,14,16,16,15,14,17,12,12,12,12,14,12
289,16,17,14,15,15,15,15,15,15,15,15,15,14,17,14,14,15,16,14,15,11,11,11,12,12,12
531,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,18,18
557,14,15,13,14,14,15,15,15,15,16,15,15,12,15,13,14,15,15,13,13,13,12,12,12,12,12
648,1,9,11,11,14,15,15,15,15,31,31,31,9,9,11,8,7,7,8,9,23,23,22,24,24,24
269,5,5,13,15,15,16,15,15,16,16,16,15,4,5,13,14,14,14,19,16,12,12,12,12,12,12
547,18,23,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13
19,13,11,12,13,13,13,13,16,16,16,16,16,11,11,12,13,14,14,12,11,12,12,12,12,12,12
223,16,15,15,16,16,16,16,16,16,16,16,16,13,15,15,17,16,16,14,16,13,13,13,13,13,13
46,16,15,19,15,16,16,16,16,16,16,16,16,14,15,19,14,15,15,14,13,12,12,12,12,12,12
357,3,6,4,5,4,4,16,17,16,17,16,17,3,6,4,5,5,4,4,1,12,12,12,12,13,12
355,1,1,9,16,27,13,23,17,16,17,17,17,9,1,9,4,6,6,6,7,12,11,12,12,13,12
660,21,22,16,17,17,17,17,17,17,16,17,17,48,57,52,65,56,55,65,55,14,15,14,14,14,14
342,1,,,18,17,17,17,17,17,17,17,17,8,,,,,,,,7,,,14,13,13
39,14,15,16,17,17,17,17,17,17,17,17,17,12,15,16,16,17,17,16,17,13,13,13,14,14,14
666,17,13,15,16,17,17,17,17,17,17,17,17,25,25,25,25,25,25,25,25,13,13,13,14,14,14
362,12,55,38,17,16,18,18,18,17,17,17,17,11,55,38,46,4,36,39,35,1,42,29,13,13,14
41,16,13,14,18,18,18,18,18,18,18,18,18,13,13,14,15,13,14,14,16,14,14,14,14,14,14
491,21,16,18,18,18,18,18,18,18,18,18,18,19,18,25,18,31,24,28,27,14,13,14,14,14,14
384,6,7,9,17,17,17,17,18,18,18,21,21,5,7,9,9,16,18,18,19,16,17,19,2,2,2
430,27,23,18,2,22,19,18,18,19,19,21,19,34,37,3,33,33,32,31,29,24,27,26,25,26,26
574,17,6,15,16,18,19,17,18,2,16,85,23,216,235,248,237,235,233,224,13,185,185,185,189,191,192
400,16,22,23,16,23,23,2,2,2,2,2,2,13,22,23,17,19,22,19,18,16,15,15,16,18,19
201,19,16,19,2,21,2,2,2,2,2,2,2,16,16,19,2,2,19,2,2,16,16,16,16,17,16
37,18,18,17,18,2,2,2,2,21,21,21,21,15,18,17,18,18,18,18,18,16,16,16,19,19,19
108,43,34,19,4,18,24,18,2,24,18,18,24,36,34,34,34,34,34,26,29,22,22,22,22,22,22
143,13,29,14,26,21,21,21,21,21,21,21,21,11,29,14,13,16,15,14,14,16,16,21,16,16,16
312,2,24,24,24,24,24,25,21,21,21,21,21,17,24,24,24,27,25,24,25,16,16,16,16,16,16
399,18,18,18,22,26,21,21,21,21,21,21,24,15,18,18,22,19,2,21,19,17,16,16,17,21,17
392,2,8,31,21,23,21,21,21,23,21,21,21,2,2,2,2,2,2,2,2,17,17,17,19,17,17
278,21,21,21,21,21,22,22,22,22,22,22,22,18,21,21,21,21,21,22,21,17,17,17,17,17,17
586,24,2,21,23,26,23,23,23,23,23,23,21,2,2,21,25,21,22,25,22,18,18,18,18,21,19
87,22,21,22,23,23,23,23,23,23,23,23,23,18,21,22,22,22,22,2,21,18,18,17,17,17,17
610,2,2,22,29,23,24,23,23,23,23,23,26,17,2,23,27,23,24,2,22,19,18,18,19,2,2
356,12,18,12,19,27,2,22,23,24,23,23,23,1,18,12,25,2,14,17,16,14,18,15,18,18,18
329,2,2,2,22,22,24,24,24,24,24,24,22,17,2,2,22,23,24,21,22,16,16,17,17,17,17
382,25,22,22,23,25,23,24,24,24,24,24,24,21,22,22,23,25,23,24,24,18,18,18,18,21,18
662,21,21,25,24,24,24,24,24,24,25,24,24,18,21,25,21,34,28,23,3,16,2,21,19,19,19
421,17,16,13,13,14,15,23,24,24,25,25,24,25,29,29,27,33,27,25,24,18,18,18,25,26,25
361,13,2,13,22,18,21,25,25,23,24,21,22,11,2,13,17,22,18,29,22,13,17,15,15,15,14
363,16,2,19,24,26,31,25,25,29,29,25,24,14,2,19,2,19,15,13,21,16,17,17,17,18,19
353,22,24,25,35,31,3,27,27,26,27,28,27,18,24,25,24,23,22,21,23,19,18,19,2,21,19
612,25,38,27,29,28,28,28,27,27,27,27,27,21,38,27,33,31,26,25,21,19,3,21,23,22,22
257,3,31,29,27,27,27,27,27,27,27,27,27,25,31,29,4,29,29,3,29,23,23,23,23,23,23
659,59,41,23,25,29,28,28,28,27,3,32,32,5,41,23,23,25,24,26,26,25,25,25,25,27,24
328,22,21,2,2,2,28,29,28,28,28,28,28,18,21,2,2,21,22,2,21,21,21,21,21,21,21
508,27,28,25,28,29,29,28,28,28,29,29,29,23,28,25,32,29,31,3,29,24,24,24,24,24,23
150,3,3,3,31,3,3,3,3,3,3,3,3,25,3,3,31,31,32,32,32,23,23,23,24,24,24
358,35,32,32,34,33,32,3,3,32,33,38,41,29,32,32,32,32,32,3,3,28,28,27,28,29,29
380,12,-41,26,25,24,28,27,31,3,32,3,39,21,21,21,21,21,21,21,21,23,23,22,24,23,24
425,14,14,1,12,11,11,31,31,31,31,31,31,49,33,3,3,29,29,31,31,24,25,25,25,26,25
314,32,3,31,31,32,32,32,32,32,32,32,32,27,3,31,3,32,34,31,29,25,25,25,25,26,25
354,19,2,18,19,28,21,32,33,31,32,32,32,16,2,18,14,13,14,17,2,25,24,25,28,29,27
631,34,53,47,44,41,38,35,35,34,34,34,4,29,53,47,61,51,5,5,45,26,41,37,35,35,38
540,27,35,3,38,34,34,34,36,35,35,43,36,23,35,3,34,36,32,28,31,26,31,29,3,29,29
345,3,48,35,38,37,37,37,37,36,36,36,36,26,48,35,41,4,32,4,37,23,37,27,3,29,29
195,33,38,3,35,36,35,36,37,36,36,36,38,28,38,3,33,28,33,34,18,29,28,28,28,3,28
418,15,16,13,15,14,15,39,38,38,39,42,44,3,36,35,36,37,38,37,38,28,3,3,3,3,31
359,24,49,38,35,32,3,37,39,34,36,37,4,21,49,38,33,5,46,4,35,32,5,42,34,34,31
274,32,36,37,38,38,39,39,39,39,38,38,38,28,36,37,38,38,4,37,38,3,3,3,3,3,3
236,36,35,35,37,4,38,39,39,39,39,39,39,3,35,35,35,39,4,37,33,3,3,29,3,32,29
205,37,37,38,38,4,4,4,4,4,4,4,4,31,37,38,37,47,45,38,38,31,3,32,31,31,31
334,35,4,37,41,41,41,42,42,41,41,41,41,3,4,37,4,5,36,37,35,32,32,32,33,33,33
646,39,35,47,4,41,42,42,42,42,41,42,42,38,41,53,5,46,41,44,43,32,32,32,33,33,33
621,28,16,27,29,37,29,42,42,42,42,42,37,34,28,4,39,43,36,16,25,34,33,33,34,34,35
230,45,37,39,44,44,44,42,42,42,42,42,42,38,37,39,39,36,36,38,38,31,31,31,27,27,27
673,,1,,,,,42,42,42,43,43,43,32,39,38,4,4,4,4,42,33,33,33,33,36,33
245,39,39,4,41,41,4,4,42,43,43,42,42,33,39,4,48,39,39,39,39,32,32,32,33,33,33
625,12,12,12,13,15,13,43,42,43,43,43,44,34,4,4,4,44,41,37,42,34,33,33,34,34,34
132,4,41,42,43,43,43,43,43,43,43,43,43,34,41,42,43,38,4,41,42,33,33,33,34,34,34
96,37,4,32,32,39,46,44,44,44,44,44,44,31,4,32,12,34,34,39,3,35,35,35,35,35,36
224,39,41,35,5,44,44,45,45,44,44,46,46,34,41,35,4,43,42,4,43,37,38,38,39,4,39
171,42,42,41,45,45,45,45,45,45,45,45,45,36,42,41,42,44,43,44,43,35,35,35,36,36,36
32,55,52,55,47,49,47,47,46,46,46,46,46,46,52,55,32,52,5,62,5,36,36,36,37,39,37
91,43,41,46,46,48,46,46,46,47,47,47,46,36,41,46,47,46,46,45,45,41,41,4,41,45,41
335,46,47,48,47,47,47,47,47,47,46,46,46,4,4,4,4,4,4,4,4,35,35,35,35,35,35
647,46,51,47,47,48,47,47,47,47,47,47,46,39,51,47,47,46,44,46,44,33,37,34,36,39,36
351,41,49,46,47,47,5,47,47,47,47,53,56,49,49,49,49,49,49,49,49,36,36,36,36,36,38
671,167,-11,32,48,42,43,49,47,47,49,58,55,55,55,55,55,34,34,34,34,42,42,42,42,42,42
424,,,,,,,48,48,48,48,48,48,38,42,44,45,46,43,43,43,37,37,37,37,37,37
308,43,36,39,36,41,38,47,48,49,48,47,48,37,36,39,37,36,37,49,38,38,36,37,37,42,38
556,32,5,34,49,46,46,48,49,47,48,47,47,27,5,34,52,45,42,48,43,34,47,36,4,39,38
151,46,46,46,5,5,5,5,5,5,46,46,46,46,46,4,3,3,25,25,25,25,15,,,,
16,41,43,43,47,48,49,49,5,51,51,51,51,35,43,43,44,48,46,46,44,38,38,38,39,39,39
532,51,56,5,52,56,51,51,51,51,51,51,51,43,56,5,5,53,49,49,46,4,4,4,4,46,4
419,11,1,7,1,9,9,51,51,51,51,51,51,44,48,45,46,48,48,45,46,41,42,42,43,43,42
615,47,49,5,51,55,52,53,53,51,51,51,51,4,49,5,46,52,49,49,44,39,39,39,39,43,39
393,44,46,48,49,52,51,52,53,52,53,54,51,38,46,48,53,5,53,51,55,46,47,48,51,54,49
187,49,5,49,53,55,54,54,53,53,53,53,52,41,5,49,51,55,51,53,51,4,4,4,4,4,4
572,41,58,53,53,52,53,53,54,52,53,52,53,35,58,53,55,53,49,51,48,37,5,43,44,49,43
123,48,54,54,54,54,54,55,55,55,55,55,55,41,54,54,55,55,55,55,57,42,42,42,43,43,43
337,51,48,48,53,57,54,54,55,55,55,55,55,43,48,48,49,5,5,49,47,45,46,48,49,53,49
283,57,49,52,54,56,53,55,55,55,55,55,55,48,49,52,55,54,5,51,48,42,42,42,43,46,43
130,64,48,48,55,55,55,55,55,55,55,55,55,54,48,48,9,48,12,59,57,32,32,32,32,32,32
516,42,66,57,59,57,57,56,56,55,55,55,53,36,66,57,77,64,61,59,6,33,51,44,47,45,45
494,48,45,4,54,56,57,57,57,57,58,57,57,41,45,4,51,54,55,55,52,42,43,42,45,45,45
510,53,55,57,56,56,56,57,57,59,59,61,61,45,55,57,56,64,59,57,58,48,48,48,48,48,48
241,32,36,57,52,53,58,56,58,58,58,58,58,271,36,57,47,56,5,52,48,44,44,44,45,45,45
307,55,55,54,55,59,59,59,59,59,58,56,56,46,55,54,55,57,58,59,57,46,46,46,47,47,47
276,63,6,47,51,55,51,52,59,59,59,59,59,54,6,47,49,57,47,55,49,53,53,53,49,55,49
513,,,,,,,61,59,62,62,62,62,43,47,43,59,54,48,5,48,47,47,47,47,48,48
319,47,45,45,6,59,59,59,6,59,,,,4,45,45,65,58,63,56,53,,,,,,
47,51,48,48,59,59,59,6,6,6,83,83,83,43,48,48,6,65,61,58,64,65,65,65,65,65,65
252,57,55,57,59,62,6,6,6,61,61,61,61,48,55,57,61,59,57,57,58,46,46,46,47,5,47
318,58,59,61,6,61,61,61,61,59,59,51,51,49,59,61,57,58,56,55,53,38,38,38,39,38,38
588,33,62,46,6,57,56,63,62,61,62,62,58,28,62,46,59,51,46,56,47,31,53,46,51,52,49
387,42,42,42,42,42,55,55,55,55,55,55,55,55,45,45,45,52,52,52,45,45,45,45,45,45,45
542,64,54,56,62,66,63,63,64,63,64,63,63,55,54,56,5,65,62,55,54,49,48,49,49,55,5
115,54,54,53,59,6,69,64,64,73,65,65,74,46,54,53,55,65,64,62,61,49,49,56,51,51,58
348,61,8,68,67,66,65,65,65,64,65,65,65,52,8,68,76,73,64,71,67,48,63,53,53,52,51
576,65,88,67,7,69,69,67,67,66,66,66,65,55,88,67,81,75,59,69,6,5,68,52,55,54,54
126,7,71,72,67,68,67,67,67,67,67,67,67,59,71,72,74,67,66,57,6,56,56,56,57,59,57
580,64,12,7,71,69,69,68,68,67,67,67,67,54,12,7,83,77,65,71,67,49,79,54,56,54,54
44,76,84,83,74,77,73,75,7,8,8,77,74,64,84,83,65,85,1,98,91,58,58,58,59,67,59
179,69,67,67,7,75,7,71,71,71,7,7,69,58,67,67,64,75,77,63,6,55,55,55,56,63,56
121,65,69,7,71,71,71,71,71,71,71,71,71,55,69,7,83,84,82,81,79,55,55,55,56,56,56
52,68,69,68,71,77,71,71,71,71,71,71,71,57,69,68,7,77,67,63,65,54,54,54,54,63,54
299,66,67,77,73,73,71,71,71,71,71,71,72,56,67,77,72,67,69,64,61,56,55,55,58,58,56
317,67,67,67,75,78,73,72,72,73,72,72,73,57,67,67,71,78,68,62,62,55,54,54,57,64,55
26,37,51,68,76,8,75,75,73,73,73,73,72,32,51,68,72,76,72,7,68,56,56,56,56,62,56
138,65,67,66,68,72,72,73,73,73,73,73,73,55,67,66,69,74,68,69,68,57,57,57,57,57,57
394,33,37,55,5,66,65,69,73,84,84,95,97,28,37,55,39,6,64,63,86,81,81,82,83,9,83
379,78,74,77,82,82,74,76,76,74,74,74,74,66,74,77,75,83,65,67,66,56,56,57,56,57,57
199,65,65,67,78,84,78,78,78,78,55,55,55,55,65,67,8,88,81,66,68,38,38,38,39,42,39
650,73,73,73,73,73,73,73,73,73,73,73,73,87,87,87,87,87,87,87,87,62,62,62,62,62,62
398,,,,,,,81,79,8,8,8,79,77,89,85,8,85,8,75,66,6,48,48,48,55,49
271,73,67,69,72,73,74,81,8,8,8,78,78,62,67,69,66,61,68,66,67,63,63,63,67,67,67
469,8,66,71,8,8,8,8,8,8,8,8,8,97,98,15,12,11,98,13,1,61,6,59,64,64,64
253,57,76,79,65,81,79,8,8,85,85,82,16,48,76,79,6,73,72,68,81,59,59,59,59,75,59
352,49,122,74,85,79,8,81,81,81,81,82,8,42,122,74,9,84,69,93,76,42,99,67,7,69,69
522,65,65,66,71,77,77,82,82,82,82,82,81,55,65,66,64,75,73,73,75,63,63,63,63,63,63
663,77,86,76,81,81,83,83,83,83,83,82,82,65,86,76,8,85,81,78,77,59,68,63,64,64,65
122,67,61,61,63,75,81,74,83,88,88,9,9,57,61,61,61,64,67,6,61,69,69,69,7,7,7
484,82,178,161,75,81,84,85,85,85,86,86,91,95,26,189,57,1,11,97,127,65,141,128,59,64,66
285,69,84,85,9,91,88,88,87,87,87,87,89,58,84,85,83,95,88,79,52,68,67,67,6,6,59
665,,,,,,,9,9,89,89,89,89,7,78,96,1,12,93,86,83,76,76,76,75,75,75
61,84,88,88,9,98,92,93,92,92,92,92,92,72,88,88,88,94,93,92,9,7,7,7,7,81,7
464,72,61,71,81,87,93,93,93,93,94,93,93,61,61,71,8,78,71,81,8,68,68,69,73,74,74
515,23,18,14,17,17,16,94,94,96,97,96,95,8,88,87,113,115,99,88,91,8,82,83,81,83,83
279,93,95,95,96,96,96,97,97,97,97,97,97,79,95,95,91,13,88,81,89,73,73,73,74,74,74
290,11,98,95,98,99,99,99,99,96,95,95,95,86,98,95,96,13,99,99,92,73,73,73,73,74,74
463,88,76,88,99,99,99,99,99,99,99,99,99,75,76,88,92,1,94,16,13,74,73,74,79,79,79
263,97,98,97,99,16,15,16,18,11,11,11,19,82,98,97,92,18,16,13,97,85,84,84,86,98,87
2,14,16,17,19,117,19,11,11,11,11,11,11,1,12,121,115,13,112,122,92,86,86,86,87,98,87
43,122,13,123,126,128,122,123,123,123,123,123,123,14,13,123,132,137,136,143,14,95,95,95,97,16,97
9,128,134,134,13,142,135,14,14,14,14,152,152,128,155,154,87,97,166,167,153,122,122,122,122,145,122
579,116,94,114,131,135,14,14,14,14,146,142,142,98,94,114,114,17,12,115,11,13,11,13,112,113,113
4,174,153,16,158,179,166,167,167,167,167,167,167,186,197,24,2,224,2,21,156,134,134,134,143,165,143
435,169,23,172,178,181,174,174,174,173,169,169,169,144,23,172,171,19,165,154,24,127,159,132,135,144,133
99,133,136,14,162,173,172,173,176,187,183,185,185,113,136,14,149,128,148,143,146,143,144,145,148,149,148
124,192,212,195,24,24,24,27,27,185,185,175,175,163,212,195,24,19,18,186,19,139,139,139,138,138,138
119,236,222,216,238,239,245,247,252,252,252,252,252,2,222,216,23,249,249,32,247,195,195,195,197,197,197
110,247,24,243,253,253,253,254,254,254,254,26,26,29,24,243,262,246,231,224,217,2,2,2,23,24,24
97,254,25,248,253,254,254,255,255,255,255,255,255,216,25,248,249,278,239,251,237,198,196,196,199,2,2
100,49,482,487,614,627,635,642,642,666,666,666,666,416,482,487,369,48,375,393,380,564,564,564,617,634,639
