Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
8,,,,,,,,,,,,,4,4,4,4,4,5,5,5,,,,,,
438,,,,,,,,,,,,,4,4,4,3,3,2,2,2,3,3,3,3,3,3
272,,,,,,,,,,,,,6,6,5,8,5,5,6,5,,,,,,
470,,,,,,,,,,,,,6,6,6,6,3,3,3,3,,,,,,
440,,,,,,,,,,,,,6,6,6,11,11,11,12,12,12,12,12,12,12,12
644,,,,,,,,,,,,,6,4,4,4,4,6,4,4,,,,,,
147,,,,,,,,,,,,,7,8,8,8,9,8,8,,6,6,6,6,6,6
275,,,,,,,,,,,,,7,5,6,5,6,6,6,,5,5,5,5,5,5
620,,,,,,,,,,,,,8,8,8,8,8,9,9,9,,,,,,
184,,,,,,,,,,,,,11,11,11,12,12,12,12,12,,,,,,
523,,,,,,,,,,,,,7,7,7,7,7,6,6,6,6,6,6,6,6,6
618,,,,,,,,,,,,,8,8,8,8,8,8,8,,,,,,,
125,,,,,,,,,,,,,8,8,8,2,2,,,,8,8,8,8,8,8
437,,,,,,,,,,,,,8,8,8,8,8,8,8,8,18,18,18,18,18,18
148,,,,,,,,,,,,,9,9,9,9,9,9,9,,8,8,8,9,9,9
295,,,,,,,,,,,,,9,8,8,8,8,8,8,,7,7,7,7,7,7
541,,,,,,,,,,,,,3,3,3,,,,,,,,,,,
6,,,,,,,,,,,,,3,1,1,1,3,3,3,3,,,,,,
182,,,,,,,,,,,,,9,9,9,9,11,11,11,,9,9,9,9,9,9
288,,,,,,,,,,,,,9,9,9,9,9,9,9,,,,,,,
441,,,,,,,,,,,,,12,12,13,13,12,13,13,12,9,9,9,9,9,9
81,,,,,,,,,,,,,14,14,14,14,14,13,13,,1,1,1,1,1,1
461,,,,,,,,,,,,,13,15,16,18,16,15,15,16,,,,,,
539,,,,,,,,,,,,,13,13,13,13,7,7,7,7,22,22,22,22,22,22
439,,,,,,,,,,,,,17,17,17,17,17,19,19,19,19,19,19,19,19,19
240,,,,,,,,,,,,,14,18,16,17,16,17,17,17,,,,,,
622,,,,,,,,,,,,,14,11,11,11,14,11,13,1,,,,,1,1
672,,,,,,,,,,,,,14,17,17,17,18,2,17,17,,,,,,
114,,,,,,,,,,,,,14,14,14,14,14,14,14,14,13,13,13,13,13,13
391,,,,,,,,,,,,,15,15,15,15,15,15,15,15,13,13,13,14,14,14
349,,,,,,,,,,,,,16,16,16,16,16,16,16,16,15,15,15,15,15,15
423,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,17,16
474,,1,1,,,,,,,,,,16,2,26,24,28,17,16,15,,,,,,
545,,,,,,,,,,,,,17,17,17,17,22,22,21,21,1,1,1,1,1,1
596,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17
426,,,,,,,,,,,,,17,17,17,17,17,17,17,17,15,15,15,15,15,15
583,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1,,,,,,,,,,,,23,29,3,32,31,31,32,32,,,,,,
235,,,,,,,,,,,,,24,28,3,3,38,27,12,,24,24,24,24,24,24
156,,,,,,,,,,,,,25,3,28,3,32,32,3,,25,25,25,25,25,25
636,,,,,,,,,,,,,28,34,36,36,38,38,4,4,,,,,,
256,,,,,,,,,,,,,29,34,35,35,35,33,37,36,,,,,,
519,,,,,,,,,,,,,3,4,32,4,45,41,45,46,35,34,34,33,41,37
5,,,,,,,,,,,,,3,34,35,33,37,34,35,,,,,,,
163,,,,,,,,,,,,,31,32,32,32,34,33,33,,27,27,27,28,28,28
634,,,,,,,,,,,,,32,38,39,34,32,37,35,32,,,,,,
3,,,,,,,,,,,,,32,37,38,47,4,42,41,,,,,,,
164,,,,,,,,,,,,,33,38,4,37,39,38,37,,3,3,3,31,31,31
436,,,,,,,,,,,,,33,38,37,38,4,38,39,37,3,3,3,3,34,3
613,,,,,,,,,,,,,34,35,38,46,47,42,41,41,,,,,,
7,,,,,,,,,,,,,35,4,42,4,44,42,43,3,,,,,,
506,,,,,,,,,,,,,37,44,43,46,49,47,47,46,,,,,,
320,,,,,,,,,,,,,38,5,44,44,49,46,46,45,,,,,,
485,,,,,,,,,,,,,4,49,48,47,51,52,5,47,,,,,,
476,,,,,,,,,,,,,42,45,45,99,17,95,89,91,,,,,,
611,,,,,,,,,,,,,42,51,52,51,57,55,49,57,,,,,,
599,,,,,,,,,,,,,44,45,7,52,47,53,54,55,,,,,,
503,5,4,4,1,,,,,,,,,49,52,44,46,52,41,38,39,,,,,,
504,1,1,1,,,,,,,,,,5,57,6,6,6,57,59,53,,,,,,
208,,,,,,,,,,,,,52,62,74,63,75,67,61,61,,,,,,
336,,,,,,,,,,,,,57,64,66,64,75,66,61,59,,,,,,
632,,,,,,,,,,,,,59,71,73,74,13,74,77,83,,,,,,
427,,,,,,,,,,,,,66,7,73,68,74,78,69,59,,,,,,
630,,,,,,,,,,,,,73,84,88,17,113,9,88,9,,,,,,
117,,,,,,,,,,,,,93,93,93,93,93,93,93,93,87,87,87,88,89,89
113,,,,,,,,,,,,,113,113,113,113,113,113,113,113,13,13,13,132,132,132
131,,,,,,,,,,,,,135,135,135,135,135,135,135,135,16,16,16,18,18,18
118,,,,,,,,,,,,,158,158,158,158,158,158,158,158,15,15,15,153,154,153
371,,,,,,,,,,,,,,,,,,,,,,,,,,
409,2,2,2,2,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,
624,,,1,,,,,,,,1,2,17,23,22,22,22,23,22,23,2,3,3,4,4,5
