Account number;Year;Month;Value DKK;Cost Center
CCNN/24221003;K4/2019;7;304,25232;435
CCNN/24221003;K4/2019;7;5536,10976;435
CCNN/24221003;K4/2019;7;153,75552;435
CCNN/24221003;K4/2019;7;88,10808;435
CCNN/24221003;K4/2019;7;2284,17;435
CCNN/24221003;K4/2019;7;406,32384;435
CCNN/24221003;K4/2019;7;3242,93448;435
CCNN/24221003;K4/2019;7;16691,40912;435
CCNN/24221003;K4/2019;7;216,66984;435
CCNN/24221003;K4/2019;7;30634,96392;435
CCNN/24221003;K4/2019;7;28835,6862;435
CCNN/24221003;K4/2019;7;228,47832;435
CCNN/24221003;K4/2019;7;1101,56124;435
CCNN/24221003;K4/2019;7;185,01996;435
CCNN/24221003;K4/2019;7;259,47996;435
CCNN/24221003;K4/2019;7;251,85;435
CCNN/24221003;K4/2019;7;603,4764;435
CCNN/24221003;K4/2019;7;1089,93672;435
CCNN/24221003;K4/2019;7;280,30248;435
CCNN/24221003;K4/2019;7;1030,69284;435
CCNN/24221003;K4/2019;7;2189,15028;435
CCNN/24221003;K4/2019;7;1494,237;435
CCNN/24221003;K4/2019;7;953,67492;435
CCNN/24221003;K4/2019;7;2440,7988;435
CCNN/24221003;K4/2019;7;4078,3494;435
CCNN/24221003;K4/2019;7;219,86724;435
CCNN/24221003;K4/2019;7;108,46632;435
CCNN/24221003;K4/2019;7;-645,37548;435
CCNN/24221003;K4/2019;7;6656,724;435
CCNN/24221003;K4/2019;7;1540,83144;435
CCNN/24221003;K4/2019;7;698,3034;435
CCNN/24221003;K4/2019;7;15518,778;435
CCNN/24221003;K4/2019;7;-353,45724;435
CCNN/24221003;K4/2019;7;-405,0186;435
CCNN/24221003;K4/2019;7;1455,6054;435
CCNN/24221003;K4/2019;7;9860,10708;435
CCNN/24221003;K4/2019;7;207,53316;435
CCNN/24221003;K4/2019;7;298,57584;435
CCNN/24221003;K4/2019;7;5162,54832;435
CCNN/24221003;K4/2019;7;4571,1432;435
CCNN/24221003;K4/2019;7;6040,0638;435
CCNN/24221003;K4/2019;7;5752,13136;435
CCNN/24221003;K4/2019;7;2514,21636;435
CCNN/24221003;K4/2019;7;-6462,24324;435
CCNN/24221003;K4/2019;7;-95,29128;435
CCNN/24221003;K4/2019;7;-215,496;435
CCNN/24221003;K4/2019;7;-75,96672;435
CCNN/24221003;K4/2019;7;394,12116;435
CCNN/24221003;K4/2019;7;4146,02916;435
CCNN/24221003;K4/2019;7;-539,97516;435
CCNN/24221003;K4/2019;7;5453,61684;435
CCNN/24221003;K4/2019;7;964,83516;435
CCNN/24221003;K4/2019;7;1031,07828;435
CCNN/24221003;K4/2019;7;680,55564;435
CCNN/24221003;K4/2019;7;-11786,3172;435
CCNN/24221003;K4/2019;7;551,7924;435
CCNN/24221003;K4/2019;7;122,42976;435
CCNN/24221003;K4/2019;7;5478,87192;435
CCNN/24221003;K4/2019;7;585,72864;435
CCNN/24221003;K4/2019;7;2126,29728;435
CCNN/24221003;K4/2019;7;453,111;435
CCNN/24221003;K4/2019;7;16,44252;435
CCNN/24221003;K4/2019;7;958,9572;435
CCNN/24221003;K4/2019;7;272,26956;435
CCNN/24221003;K4/2019;7;179,86032;435
