Account number;Year;Month;Value DKK;Cost Center
CCNN/20101000;K4/2018;1;1305040,955;435
CCNN/20101000;K4/2018;2;1301487,172;435
CCNN/20101000;K4/2018;3;1193666,78;435
CCNN/20101000;K4/2018;4;1322704,111;435
CCNN/20101000;K4/2018;5;1322704,111;435
CCNN/20101000;K4/2018;6;1322704,111;435
CCNN/20101001;K4/2018;1;132649,1935;435
CCNN/20101001;K4/2018;2;132531,6518;435
CCNN/20101001;K4/2018;3;134213,5894;435
CCNN/20101002;K4/2018;4;110227,518;435
CCNN/20101002;K4/2018;5;110227,518;435
CCNN/20101002;K4/2018;6;110227,518;435
CCNN/20101100;K4/2018;1;383891,7751;435
CCNN/20101100;K4/2018;2;378037,7737;435
CCNN/20101100;K4/2018;3;375365,4218;435
CCNN/20101100;K4/2018;4;405694,6968;435
CCNN/20101100;K4/2018;5;405694,6968;435
CCNN/20101100;K4/2018;6;405694,6968;435
CCNN/20104000;K4/2018;1;1598,27076;435
CCNN/20104000;K4/2018;2;1598,27076;435
CCNN/20104000;K4/2018;3;2512,91112;435
CCNN/20104101;K4/2018;1;-1322,60232;435
CCNN/20104101;K4/2018;2;-7054,8222;435
CCNN/20104101;K4/2018;3;159421,6895;435
CCNN/20102000;K4/2018;1;4594,839;435
CCNN/20102000;K4/2018;2;1456,19232;435
CCNN/20102000;K4/2018;3;35386,62444;435
CCNN/20102001;K4/2018;1;69792,61944;435
CCNN/20102001;K4/2018;2;83309,36076;435
CCNN/20102001;K4/2018;3;79935,90228;435
CCNN/20102002;K4/2018;1;-27049,20684;435
CCNN/20102002;K4/2018;2;-25933,87488;435
CCNN/20102002;K4/2018;3;-201259,5896;435
CCNN/21101000;K4/2018;1;486246,9965;435
CCNN/21101000;K4/2018;2;461923,7878;435
CCNN/21101000;K4/2018;3;453704,49;435
CCNN/21101000;K4/2018;4;483056,2716;435
CCNN/21101000;K4/2018;5;483056,2716;435
CCNN/21101000;K4/2018;6;483056,2716;435
CCNN/21101004;K4/2018;1;10392,97788;435
CCNN/21101004;K4/2018;2;11283,7998;435
CCNN/21101004;K4/2018;3;9290,05008;435
