Account number;Year;Month;Value DKK;Cost Center
CCNN/20101000;K4/2020;1;1004851,74;435
CCNN/20101000;K4/2020;2;1002115,408;435
CCNN/20101000;K4/2020;3;919096,1676;435
CCNN/20101000;K4/2020;4;1040857,899;435
CCNN/20101000;K4/2020;5;1040857,899;435
CCNN/20101000;K4/2020;6;1040857,899;435
CCNN/20101001;K4/2020;1;102136,8505;435
CCNN/20101001;K4/2020;2;102046,3461;435
CCNN/20101001;K4/2020;3;103341,3996;435
CCNN/20101002;K4/2020;4;86739,87037;435
CCNN/20101002;K4/2020;5;86739,87037;435
CCNN/20101002;K4/2020;6;86739,87037;435
CCNN/20101100;K4/2020;1;295587,9022;435
CCNN/20101100;K4/2020;2;291080,4548;435
CCNN/20101100;K4/2020;3;289022,8048;435
CCNN/20101100;K4/2020;4;319247,9255;435
CCNN/20101100;K4/2020;5;319247,9255;435
CCNN/20101100;K4/2020;6;319247,9255;435
CCNN/20104000;K4/2020;1;1230,631995;435
CCNN/20104000;K4/2020;2;1230,631995;435
CCNN/20104000;K4/2020;3;1934,88419;435
CCNN/20104101;K4/2020;1;-1018,37359;435
CCNN/20104101;K4/2020;2;-5432,052025;435
CCNN/20104101;K4/2020;3;122751,0611;435
CCNN/20102000;K4/2020;1;3537,921125;435
CCNN/20102000;K4/2020;2;1121,23484;435
CCNN/20102000;K4/2020;3;27246,89291;435
CCNN/20102001;K4/2020;1;53738,72353;435
CCNN/20102001;K4/2020;2;64146,30575;435
CCNN/20102001;K4/2020;3;61548,81974;435
CCNN/20102002;K4/2020;1;-20827,27171;435
CCNN/20102002;K4/2020;2;-19968,49156;435
CCNN/20102002;K4/2020;3;-154965,2891;435
CCNN/21101000;K4/2020;1;374399,0858;435
CCNN/21101000;K4/2020;2;355670,7704;435
CCNN/21101000;K4/2020;3;349342,0988;435
CCNN/21101000;K4/2020;4;380125,0512;435
CCNN/21101000;K4/2020;5;380125,0512;435
CCNN/21101000;K4/2020;6;380125,0512;435
CCNN/21101004;K4/2020;1;8002,355685;435
CCNN/21101004;K4/2020;2;8688,268225;435
CCNN/21101004;K4/2020;3;7153,12646;435
CCNN/21101002;K4/2020;1;39505,33685;435
CCNN/21101002;K4/2020;2;30023,11467;435
CCNN/21101002;K4/2020;3;29420,11167;435
CCNN/21101002;K4/2020;4;34012,93731;435
CCNN/21101002;K4/2020;5;34012,93731;435
CCNN/21101002;K4/2020;6;34012,93731;435
CCNN/21104001;K4/2020;1;92,966335;435
CCNN/21104001;K4/2020;2;31002,79894;435
CCNN/21104001;K4/2020;3;31144,85539;435
CCNN/21104140;K4/2020;1;16126,35745;435
CCNN/21102000;K4/2020;1;32154,58189;435
CCNN/21102000;K4/2020;2;1608,864615;435
CCNN/21102000;K4/2020;3;2509,699835;435
CCNN/21102001;K4/2020;1;-23501,1381;435
CCNN/21102001;K4/2020;2;11455,24934;435
CCNN/21102001;K4/2020;3;17339,00053;435
CCNN/21102001;K4/2020;4;477,62694;435
CCNN/21102001;K4/2020;5;477,62694;435
CCNN/21102001;K4/2020;6;477,62694;435
CCNN/21102002;K4/2020;1;-204456,6591;435
CCNN/21102002;K4/2020;2;133829,8316;435
CCNN/21102002;K4/2020;3;-18719,82344;435
CCNN/21401001;K4/2020;1;-13405,80891;435
CCNN/21401001;K4/2020;2;-7869,18915;435
CCNN/21401001;K4/2020;3;-8052,147275;435
CCNN/22103000;K4/2020;1;114684,5403;435
CCNN/22103000;K4/2020;2;109345,1443;435
CCNN/22103000;K4/2020;3;164100,3798;435
CCNN/22202000;K4/2020;1;619226,0403;435
CCNN/22202000;K4/2020;2;695337,3825;435
CCNN/22202000;K4/2020;3;484070,9579;435
CCNN/22202000;K4/2020;4;930730,6114;435
CCNN/22202000;K4/2020;5;930730,6114;435
CCNN/22202000;K4/2020;6;930730,6114;435
CCNN/22202010;K4/2020;1;45900,3388;435
CCNN/22202010;K4/2020;2;44883,77287;435
CCNN/22202010;K4/2020;3;51320,33076;435
CCNN/22301002;K4/2020;2;3015,015;435
CCNN/22303000;K4/2020;1;21072,89763;435
CCNN/22303000;K4/2020;2;20042,11324;435
CCNN/22303000;K4/2020;3;24487,85066;435
CCNN/22399000;K4/2020;1;13888,86558;435
CCNN/22399000;K4/2020;2;13209,18542;435
CCNN/22399000;K4/2020;3;16140,02956;435
CCNN/22399001;K4/2020;1;17931,29921;435
CCNN/22399001;K4/2020;2;17060,36458;435
CCNN/22399001;K4/2020;3;20888,27349;435
CCNN/22399003;K4/2020;1;6397,814615;435
CCNN/22399003;K4/2020;2;6329,92619;435
CCNN/22399003;K4/2020;3;6061,48868;435
CCNN/22399010;K4/2020;1;8012,904865;435
CCNN/22399010;K4/2020;2;7620,85174;435
CCNN/22399010;K4/2020;3;9311,573675;435
CCNN/22399011;K4/2020;1;-109738,3576;435
CCNN/22399011;K4/2020;2;530031,597;435
CCNN/22399011;K4/2020;3;18239,38383;435
CCNN/22399012;K4/2020;1;583,759515;435
CCNN/22399012;K4/2020;2;738,827065;435
CCNN/22399012;K4/2020;3;913,549545;435
CCNN/22399013;K4/2020;1;49684,22984;435
CCNN/22399013;K4/2020;2;372216,1677;435
CCNN/22399013;K4/2020;3;153682,7543;435
CCNN/22399014;K4/2020;1;139531,778;435
CCNN/22399014;K4/2020;2;464450,596;435
CCNN/22399014;K4/2020;3;130037,3946;435
CCNN/22399014;K4/2020;4;220904,9217;435
CCNN/22399014;K4/2020;5;117815,2792;435
CCNN/22399014;K4/2020;6;103089,6424;435
CCNN/22399013;K4/2020;1;74,323155;435
CCNN/22399013;K4/2020;2;74,323155;435
CCNN/22399013;K4/2020;3;74,323155;435
CCNN/24219000;K4/2020;1;9416,296545;435
CCNN/24219000;K4/2020;2;22749,09083;435
CCNN/24219000;K4/2020;3;1696,79918;435
CCNN/24219000;K4/2020;4;52854,31913;435
CCNN/24219000;K4/2020;5;52854,31913;435
CCNN/24219000;K4/2020;6;52854,31913;435
CCNN/24222000;K4/2020;1;82178,55737;435
CCNN/24222000;K4/2020;3;16314,94765;435
CCNN/24241000;K4/2020;1;1886,192035;435
CCNN/24241000;K4/2020;2;763,702625;435
CCNN/24241000;K4/2020;3;2307,390305;435
CCNN/24241000;K4/2020;4;-550,290825;435
CCNN/24241000;K4/2020;5;-550,290825;435
CCNN/24241000;K4/2020;6;-550,290825;435
CCNN/24242000;K4/2020;1;114,671745;435
CCNN/24242000;K4/2020;2;573,25755;435
CCNN/24242000;K4/2020;4;-76,427595;435
CCNN/24242000;K4/2020;5;-76,427595;435
CCNN/24242000;K4/2020;6;-76,427595;435
CCNN/24221000;K4/2020;1;688,576815;435
CCNN/24221000;K4/2020;2;17204,47825;435
CCNN/24221000;K4/2020;3;32032,07245;435
CCNN/24221000;K4/2020;4;6909,3082;435
CCNN/24221000;K4/2020;5;6909,3082;435
CCNN/24221000;K4/2020;6;6909,3082;435
CCNN/24221002;K4/2020;1;3643,547825;435
CCNN/24221002;K4/2020;2;35932,39568;435
CCNN/24221002;K4/2020;3;20964,75504;435
CCNN/24221002;K4/2020;4;39132,47999;435
CCNN/24221002;K4/2020;5;39132,47999;435
CCNN/24221002;K4/2020;6;39132,47999;435
CCNN/24221003;K4/2020;1;-149012,3409;435
CCNN/24221003;K4/2020;2;-8617,364785;435
CCNN/24221003;K4/2020;3;33194,86324;435
CCNN/24221003;K4/2020;4;202418,8597;435
CCNN/24221003;K4/2020;5;202418,8597;435
CCNN/24221003;K4/2020;6;202418,8597;435
CCNN/24221999;K4/2020;1;227983,1719;435
CCNN/24221999;K4/2020;2;82501,66311;435
CCNN/24221999;K4/2020;3;145883,4636;435
CCNN/24271000;K4/2020;2;8356,414225;435
CCNN/24271000;K4/2020;3;4773,07227;435
CCNN/24271000;K4/2020;4;-1457,25725;435
CCNN/24271000;K4/2020;5;-1457,25725;435
CCNN/24271000;K4/2020;6;-1457,25725;435
CCNN/23102000;K4/2020;3;115,224835;435
CCNN/23103000;K4/2020;4;-15,277425;435
CCNN/23103000;K4/2020;5;-15,277425;435
CCNN/23103000;K4/2020;6;-15,277425;435
CCNN/27301001;K4/2020;1;-160355,9335;435
CCNN/27301001;K4/2020;2;100126,139;435
CCNN/27301001;K4/2020;3;-405563,1374;435
CCNN/27302004;K4/2020;4;9594,580385;435
CCNN/27302004;K4/2020;5;9594,580385;435
CCNN/27302004;K4/2020;6;9594,580385;435
CCNN/27399000;K4/2020;1;20921,59379;435
CCNN/27399000;K4/2020;2;22921,55374;435
CCNN/27399000;K4/2020;3;62000,5189;435
CCNN/27399000;K4/2020;4;91879,81668;435
CCNN/27399000;K4/2020;5;91879,81668;435
CCNN/27399000;K4/2020;6;91879,81668;435
CCNN/28201000;K4/2020;4;4346,3431;435
CCNN/28201000;K4/2020;5;4346,3431;435
CCNN/28201000;K4/2020;6;4346,3431;435
CCNN/28201001;K4/2020;1;1566,303665;435
CCNN/28201001;K4/2020;2;356,6756;435
CCNN/28201001;K4/2020;3;9905,430455;435
CCNN/28299000;K4/2020;1;7948,786895;435
CCNN/28299000;K4/2020;2;9648,095215;435
CCNN/28299000;K4/2020;4;23520,23319;435
CCNN/28299000;K4/2020;5;23520,23319;435
CCNN/28299000;K4/2020;6;23520,23319;435
CCNN/32203000;K4/2020;1;-144168,925;435
CCNN/32203000;K4/2020;2;-49204,0398;435
CCNN/32203000;K4/2020;3;-77010,7677;435
CCNN/32203999;K4/2020;1;45450,79804;435
CCNN/32203999;K4/2020;2;83034,26854;435
CCNN/32203999;K4/2020;3;46899,66451;435
CCNN/20101000;K4/2020;1;939872,3324;576
CCNN/20101000;K4/2020;2;1025494,738;576
CCNN/20101000;K4/2020;3;882006,4109;576
CCNN/20101000;K4/2020;4;964661,3878;576
CCNN/20101000;K4/2020;5;986169,1491;576
CCNN/20101000;K4/2020;6;996923,0533;576
CCNN/20101001;K4/2020;1;111052,6478;576
CCNN/20101001;K4/2020;2;106409,2279;576
CCNN/20101001;K4/2020;3;112182,7793;576
CCNN/20101002;K4/2020;2;3328,57656;576
