Account number;Year;Month;Value DKK;Cost Center
CCNN/24221003;K4/2019;4;81,249;435
CCNN/24221003;K4/2019;4;161,39424;435
CCNN/24221003;K4/2019;4;489,465;435
CCNN/24221003;K4/2019;4;4405,185;435
CCNN/24221003;K4/2019;4;9358,11528;435
CCNN/24221003;K4/2019;4;17387,10204;435
CCNN/24221003;K4/2019;4;16691,40912;435
CCNN/24221003;K4/2019;4;286,43448;435
CCNN/24221003;K4/2019;4;971,42268;435
CCNN/24221003;K4/2019;4;27860,67192;435
CCNN/24221003;K4/2019;4;168,63876;435
CCNN/24221003;K4/2019;4;296,02668;435
CCNN/24221003;K4/2019;4;263,65848;435
CCNN/24221003;K4/2019;4;301,77324;435
CCNN/24221003;K4/2019;4;560,53488;435
CCNN/24221003;K4/2019;4;824,58756;435
CCNN/24221003;K4/2019;4;547,28976;435
CCNN/24221003;K4/2019;4;498,07608;435
CCNN/24221003;K4/2019;4;9686,31744;435
CCNN/24221003;K4/2019;4;158,91516;435
CCNN/24221003;K4/2019;4;1230,84132;435
CCNN/24221003;K4/2019;4;1232,08524;435
CCNN/24221003;K4/2019;4;9516,10188;435
CCNN/24221003;K4/2019;4;837,96408;435
CCNN/24221003;K4/2019;4;1413,82896;435
CCNN/24221003;K4/2019;4;1215,0558;435
CCNN/24221003;K4/2019;4;369,77712;435
CCNN/24221003;K4/2019;4;651,31476;435
CCNN/24221003;K4/2019;4;426,81348;435
CCNN/24221003;K4/2019;4;1076,823;435
CCNN/24221003;K4/2019;4;10917,0186;435
CCNN/24221003;K4/2019;4;1400,65392;435
CCNN/24221003;K4/2019;4;518,95992;435
CCNN/24221003;K4/2019;4;234,03216;435
CCNN/24221003;K4/2019;4;656,46564;435
CCNN/24221003;K4/2019;4;1288,4646;435
CCNN/24221003;K4/2019;4;978,93;435
CCNN/24221003;K4/2019;4;1632,66252;435
CCNN/24221003;K4/2019;4;214,38348;435
CCNN/24221003;K4/2019;4;195,5232;435
CCNN/24221003;K4/2019;4;354,83256;435
CCNN/24221003;K4/2019;4;113,95008;435
CCNN/24221003;K4/2019;4;24,86088;435
CCNN/24221003;K4/2019;4;57,88608;435
CCNN/24221003;K4/2019;4;1313,72844;435
CCNN/24221003;K4/2019;4;81,31908;435
CCNN/24221003;K4/2019;4;1148,6112;435
CCNN/24221003;K4/2019;4;5909,00544;435
CCNN/24221003;K4/2019;4;680,55564;435
CCNN/24221003;K4/2019;4;260,5224;435
CCNN/24221003;K4/2019;4;43,07292;435
CCNN/24221003;K4/2019;4;1887,31572;435
CCNN/24221003;K4/2019;4;1132,30008;435
CCNN/24221003;K4/2019;4;4065,8226;435
CCNN/24221003;K4/2019;4;1944,8076;435
CCNN/24221003;K4/2019;4;679,18032;435
CCNN/24221003;K4/2019;4;375,26088;435
CCNN/24221999;K4/2019;4;-147078,9984;435
CCNN/32203000;K4/2019;4;99708,36984;435
CCNN/32203999;K4/2019;4;-99708,36984;435
CCNN/20101000;K4/2019;4;1366580,796;435
CCNN/20101001;K4/2019;4;140359,3075;435
CCNN/20101003;K4/2019;4;1305,24;435
CCNN/20101100;K4/2019;4;401094,3127;435
CCNN/20104000;K4/2019;4;6878,54472;435
CCNN/20104101;K4/2019;4;559,22964;435
CCNN/20102000;K4/2019;4;3042,51444;435
CCNN/20102001;K4/2019;4;80482,21092;435
CCNN/20102002;K4/2019;4;34042,29732;435
CCNN/21101000;K4/2019;4;475050,7792;435
CCNN/21101004;K4/2019;4;16191,5022;435
CCNN/21101002;K4/2019;4;29692,84344;435
CCNN/21104001;K4/2019;4;-3513,70608;435
CCNN/21102000;K4/2019;4;1711,10832;435
CCNN/21102001;K4/2019;4;2577,78768;435
CCNN/21102002;K4/2019;4;10961,79096;435
CCNN/21401001;K4/2019;4;-13848,3336;435
CCNN/22103000;K4/2019;4;146382,666;435
CCNN/22202000;K4/2019;4;1020846,083;435
CCNN/22202010;K4/2019;4;60284,72568;435
CCNN/22303000;K4/2019;4;27124,19244;435
CCNN/22399000;K4/2019;4;17630,8578;435
CCNN/22399001;K4/2019;4;23290,96536;435
CCNN/22399003;K4/2019;4;8386,6926;435
CCNN/22399010;K4/2019;4;10171,5426;435
CCNN/22399011;K4/2019;4;-423294,0974;435
CCNN/22399012;K4/2019;4;3251,09004;435
CCNN/22399013;K4/2019;4;-466623,5015;435
CCNN/22399014;K4/2019;4;494409,836;435
CCNN/22399013;K4/2019;4;312,93348;435
CCNN/24219000;K4/2019;4;6179,99604;435
CCNN/24222000;K4/2019;4;242,77464;435
CCNN/24222000;K4/2019;4;3096,55488;435
CCNN/24222000;K4/2019;4;2207,29224;435
CCNN/24221000;K4/2019;4;66,69864;435
CCNN/24221000;K4/2019;4;-0,06132;435
CCNN/24221002;K4/2019;4;67258,23756;435
CCNN/24221003;K4/2019;4;100892,1174;435
CCNN/24221999;K4/2019;4;107510,0521;435
CCNN/24271000;K4/2019;4;2966,0922;435
CCNN/23102000;K4/2019;4;295,11564;435
CCNN/27301001;K4/2019;4;41106,11604;435
CCNN/27399000;K4/2019;4;3215,33172;435
CCNN/27399000;K4/2019;4;-3217,4166;435
CCNN/28201001;K4/2019;4;3661,1982;435
CCNN/28201001;K4/2019;4;-6180,3114;435
CCNN/28901002;K4/2019;4;-1957,86;435
CCNN/32203000;K4/2019;4;-53186,34876;435
CCNN/32203999;K4/2019;4;50056,01532;435
CCNN/24221003;K4/2019;4;4296,85008;576
CCNN/24221003;K4/2019;4;6811,00512;576
CCNN/24221003;K4/2019;4;90610,2864;576
CCNN/24221003;K4/2019;4;132,48624;576
CCNN/24221003;K4/2019;4;4397,48496;576
CCNN/24221003;K4/2019;4;756,5136;576
CCNN/24221003;K4/2019;4;648,38016;576
CCNN/24221003;K4/2019;4;3236,9952;576
CCNN/24221003;K4/2019;4;1,43664;576
CCNN/24221003;K4/2019;4;347,97348;576
CCNN/24221003;K4/2019;4;687,08184;576
CCNN/24221003;K4/2019;4;3357,01596;576
CCNN/24221003;K4/2019;4;479,54868;576
CCNN/24221003;K4/2019;4;341,78016;576
CCNN/24221003;K4/2019;4;1757,24724;576
CCNN/24221003;K4/2019;4;12780,13044;576
CCNN/24221003;K4/2019;4;384,9144;576
CCNN/24221003;K4/2019;4;2228,70168;576
CCNN/24221003;K4/2019;4;5605,22616;576
CCNN/24221003;K4/2019;4;5834,36148;576
CCNN/24221003;K4/2019;4;561,2532;576
CCNN/24221003;K4/2019;4;2011,37484;576
CCNN/24221003;K4/2019;4;1810,63068;576
CCNN/24221003;K4/2019;4;1866,55452;576
CCNN/24221003;K4/2019;4;322,65708;576
CCNN/24221003;K4/2019;4;3758,8284;576
CCNN/24221003;K4/2019;4;3644,03736;576
CCNN/24221003;K4/2019;4;601,0674;576
CCNN/24221003;K4/2019;4;78,9714;576
CCNN/24221003;K4/2019;4;248,6526;576
CCNN/24221003;K4/2019;4;413,11284;576
CCNN/24221003;K4/2019;4;2153,646;576
CCNN/24221003;K4/2019;4;130,97952;576
CCNN/24221003;K4/2019;4;1887,37704;576
CCNN/24221003;K4/2019;4;2784,07692;576
CCNN/24221003;K4/2019;4;1892,598;576
CCNN/24221003;K4/2019;4;10831,07424;576
CCNN/24221003;K4/2019;4;4433,70756;576
CCNN/24221003;K4/2019;4;10646,38716;576
CCNN/24221003;K4/2019;4;2124,28248;576
CCNN/24221003;K4/2019;4;3450,46764;576
CCNN/24221003;K4/2019;4;3901,94928;576
CCNN/24221003;K4/2019;4;4040,76024;576
CCNN/24221003;K4/2019;4;55203,62784;576
CCNN/24221003;K4/2019;4;1182,81024;576
CCNN/24221003;K4/2019;4;10593,59064;576
CCNN/24221003;K4/2019;4;1182,54744;576
CCNN/24221003;K4/2019;4;1174,716;576
CCNN/24221003;K4/2019;4;60,36516;576
CCNN/24221003;K4/2019;4;4035,40788;576
CCNN/24221003;K4/2019;4;2913,6198;576
CCNN/24221003;K4/2019;4;2828,19228;576
CCNN/24221003;K4/2019;4;2811,16284;576
CCNN/24221003;K4/2019;4;28672,794;576
CCNN/24221003;K4/2019;4;79,55832;576
CCNN/24221003;K4/2019;4;4519,26648;576
CCNN/24221003;K4/2019;4;14549,65044;576
CCNN/24221999;K4/2019;4;-338097,1757;576
CCNN/32203000;K4/2019;4;64150,37352;576
CCNN/32203999;K4/2019;4;-64150,37352;576
CCNN/20101000;K4/2019;4;1251069,868;576
CCNN/20101001;K4/2019;4;140398,0092;576
CCNN/20101002;K4/2019;4;5437,62984;576
CCNN/20101004;K4/2019;4;14042,68296;576
CCNN/20101100;K4/2019;4;467294,6489;576
CCNN/20104000;K4/2019;4;-35961,18408;576
CCNN/20104101;K4/2019;4;311,36544;576
CCNN/20102000;K4/2019;4;18856,80228;576
CCNN/20102001;K4/2019;4;71648,99484;576
CCNN/20102002;K4/2019;4;23776,18176;576
